timestamp,msg_type,mac,offered_ip,server_id,hostname
2004-12-05T19:16:24.317453+00:00,DISCOVER,00:0b:82:01:fc:42,0.0.0.0,,
2004-12-05T19:16:24.317748+00:00,OFFER,00:0b:82:01:fc:42,192.168.0.10,,
2004-12-05T19:16:24.387484+00:00,DISCOVER,00:0b:82:01:fc:42,0.0.0.0,,
2004-12-05T19:16:24.387798+00:00,OFFER,00:0b:82:01:fc:42,192.168.0.10,,
